github.com/AlDanial/cloc v 1.98  T=0.23 s (515.9 files/s, 367310.7 lines/s)
----------------------------------------------------------------------------------------------------------------
File                                                                         blank        comment           code
----------------------------------------------------------------------------------------------------------------
.\unicode\utf8_name_tables.ixx                                                   3             20          40592
.\utils\helpers.ixx                                                            341             82           1453
.\types\bigint.ixx                                                             281             32           1149
.\example\window\src\winmain.cpp                                               431            288           1114
.\graphs\graph.ixx                                                             176             27           1091
.\unicode\utf8string.ixx                                                       302             14           1076
.\app\app.ixx                                                                  345            179           1050
.\example\threader\src\winmain.cpp                                             295             83           1050
.\scripting\lexer\lexer.ixx                                                    224            106           1033
.\types\image.ixx                                                              222             58           1016
.\types\int128.ixx                                                             161              6            856
.\utils\smallbufferobject.ixx                                                  214             28            768
.\file\File.ixx                                                                200             55            753
.\config\config.ixx                                                            164             32            735
.\build\CMakeFiles\4.3.2\CompilerIdCXX\CMakeCXXCompilerId.cpp                  157             63            729
.\utils\sha.ixx                                                                154              4            655
.\unicode\utf8view.ixx                                                         186             14            644
.\math\generic_vec4.ixx                                                        146             11            620
.\math\generic_vec3.ixx                                                        148             13            590
.\app\vulkan\device.ixx                                                        195             34            546
.\math\generic_vec2.ixx                                                        143             12            542
.\utils\stringhelper.ixx                                                       136             28            524
.\utils\hash.ixx                                                               107             25            511
.\utils\serializer.ixx                                                         106             16            447
.\net\protocol.ixx                                                              82             41            434
.\utils\grid.ixx                                                               126             15            433
.\graphs\avltree.ixx                                                            94             10            384
.\utils\base_n.ixx                                                             112              7            373
.\math\matrix.ixx                                                              104             29            370
.\archive\db.ixx                                                                85             23            367
.\utils\random.ixx                                                             127             18            359
.\app\vulkan\instance.ixx                                                       88             13            348
.\app\vulkan.ixx                                                               112             45            338
.\net\server.ixx                                                                93             30            335
.\utils\cpuid.ixx                                                              111             15            330
.\graphs\binarytree.ixx                                                         82             12            324
.\unicode\utf8_decode.ixx                                                       66             17            315
.\math\quaternion.ixx                                                           94              0            314
.\utils\colors.ixx                                                              83             16            313
.\net\ip.ixx                                                                    79             11            312
.\app\gl\opengl.ixx                                                             58              7            289
.\net\client.ixx                                                                75             15            274
.\utils\arrays.ixx                                                             112              2            273
.\math\vec4_sse.ixx                                                             98             12            270
.\net\socket.ixx                                                                65             12            267
.\unicode\utf8_xid_tables.ixx                                                    8              4            267
.\platform\platform_win32.ixx                                                   84             26            264
.\math\math_utility.ixx                                                         63             16            241
.\utils\ringbuffer.ixx                                                          64              2            222
.\types\types.ixx                                                               85             52            202
.\utils\logger.ixx                                                              60              5            199
.\monocypher\monocypher.ixx                                                     80              7            198
.\types\as.ixx                                                                  26             10            181
.\threadpool\threadpool.ixx                                                     33             10            180
.\Deckard.ixx                                                                   72             22            178
.\app\inputs.ixx                                                                36              4            178
.\math\ease_functions.ixx                                                       30              7            158
.\debug\debug.ixx                                                               54             36            156
.\file\filemonitor.ixx                                                          39              7            155
.\utils\commandline.ixx                                                         47             53            154
.\unicode\utf8_codepoints.ixx                                                   31              8            153
.\app\vulkan\pipeline.ixx                                                       21              7            136
.\app\vulkan\swapchain.ixx                                                      47              6            135
.\math\primitives.ixx                                                           39              6            134
.\net\net.ixx                                                                   37             13            132
.\app\vulkan\shaders.ixx                                                        53              8            128
.\platform\win32.ixx                                                            47              2            122
.\utils\uuid.ixx                                                                22              0            119
.\platform\DTE.ixx                                                              33              6            118
.\app\vulkan\debug.ixx                                                          31              9            113
.\types\allocator.ixx                                                           32              0            110
.\utils\hmac.ixx                                                                29              3            109
.\net\auth.ixx                                                                  20             28            106
.\math\generic_vec.ixx                                                          29             18            105
.\unicode\utf8_basic_characters.ixx                                              2              0            104
.\utils\function_ref.ixx                                                        33              2            103
.\app\controller.ixx                                                            43             20            100
.\unicode\utf8_xid.ixx                                                          14              2             96
.\debug\debug_null.ixx                                                          33              4             94
.\app\vulkan\command_buffer.ixx                                                 33              3             93
.\utils\timers.ixx                                                              22              4             91
.\app\vulkan\core.ixx                                                           32             33             89
.\app\vulkan\buffer.ixx                                                         19              0             88
.\compress\zstd.ixx                                                             17              1             84
.\utils\lru.ixx                                                                 21              1             82
.\types\enum_flags.ixx                                                          28             41             77
.\app\vulkan\images.ixx                                                         19              2             74
.\utils\threadutils.ixx                                                         14              0             64
.\unicode\utf8_span.ixx                                                          9              0             58
.\debug\assert.ixx                                                              11              0             56
.\app\vulkan\surface.ixx                                                        18              1             54
.\app\vulkan\fence.ixx                                                          13              0             51
.\unicode\utf8_ascii.ixx                                                        16              0             50
.\debug\console.ixx                                                             11              1             42
.\types\HelperTypes.ixx                                                         15              5             39
.\utils\scope_exit.ixx                                                          10              0             38
.\archive\archive.ixx                                                           10              1             37
.\app\vulkan\semaphore.ixx                                                      11              0             36
.\debug\log.ixx                                                                 11              0             35
.\utils\circular_buffer.ixx                                                     10              0             34
.\app\vulkan\shader.ixx                                                          6              0             24
.\math\math.ixx                                                                 22             32             20
.\debug\assert_null.ixx                                                          7              0             19
.\buildnumber.ixx                                                                6             17             17
.\example\empty\src\buildnumber.ixx                                              6             17             17
.\example\threader\src\buildnumber.ixx                                           6             17             17
